Spine #,Title,Director,Year,DVD,Blu‑ray,Blu-Ray/DVD Combo,4K UHD+Blu-ray Combo,Collectors Sets,On Criterion Channel
268,Youth of the Beast,Seijun Suzuki,1963,$23.96,,,,[],True
269,Fighting Elegy,Seijun Suzuki,1966,$23.96,,,,[],True
270,Casque d’or,Jacques Becker,1952,$31.96,,,,[],True
271,Touchez pas au grisbi,Jacques Becker,1954,Out Of Print,,,,[],False
272,La commare secca,Bernardo Bertolucci,1962,$23.96,,,,[],True
273,Thieves’ Highway,Jules Dassin,1949,$31.96,,,,[],False
274,Night and the City,Jules Dassin,1950,$23.96,$31.96,,,[],True
275,Tout va bien,Jean-Luc Godard and Jean-Pierre Gorin,1972,Currently Unavailable,,,,[],True
276,The River,Jean Renoir,1951,$23.96,$31.96,,,[],True
277,My Own Private Idaho,Gus Van Sant,1991,$23.96,$31.96,,,[],False
278,L’eclisse,Michelangelo Antonioni,1962,$23.96,$31.96,,,[],True
279,Young Törless,Volker Schlöndorff,1966,$23.96,,,,[],True
280,The Sword of Doom,Kihachi Okamoto,1966,$23.96,$31.96,,,[],True
281,Jules and Jim,François Truffaut,1962,,,$31.96,,['Essential Art House: 50 Years of Janus Films (Out of Print)'],True
282,Andrzej Wajda: Three War Films,,,Currently Unavailable,,,,[],False
283,A Generation,Andrzej Wajda,1955,,,,,['Andrzej Wajda: Three War Films (Availability Unsure)'],True
